Site name,Alternate site name/ abbreviation,State/ Province,Country,Biogeographic zone,GCB#,Latitude,Longitude,Elevation-min,Elevation-max,Topographic relief,Location & Elevation notes,n geographically distinct plots,Area,Plot Dimensions,Plot Area & Dimensions notes,First ForestGEO census year,First census year,Year added to network,Publication(s) describing site/plot,Affiliated web links,Number of Species,Number of Trees,Species & Number of trees notes,Forest Description ,FAO ecozone,Dominant vegetation type(s),Dominant Soil order(s),Soil Notes,Koppen Climate zone,MAT,MAP,Natural disturbance regime,Natural disturbance notes,Past anthropogenic disturbances,Current anthropogenic disturbances,Anthropogenic disturbance notes,PI1,PI2,PI3,PI4
Daxinganling,,Heilongjiang,China,Palearctic,NA,51.8167,122.998,,,,,1,25,,,2011,,2015,,,18,,,dahurian larch,,,,,,,,,,,,,Ni Hongwei,,,
Dinghushan,,Guangdong,China,Indo-Malay,7,23.1695,112.511,230,470,240,,1,20,500 x 400,,2005,,2005,"Pei et al., 2011",,210,71617,,"Castanopsis chinensis, Schima superba, and Engelhardtia roxburghiana are the three most dominant species in the upper layer.",Subtropical humid forest,BE,,,Cfa,20.9,1985,,,,,,Dr. Wanhui Ye_,,,
Doi Inthanon,,Chiang Mai,Thailand,Indo-Malay,25,18.5833,98.4333,1630,1710,80,,1,15,500 x 300,,1997,,1997,"Kanzaki et al., 2004",,162,73269,,mountain evergreen forest,Tropical mountain system,BE,UIt,"coarse, sandy, and well-drained, ",Aw,20.9,1908,-,,-,-,Hunting and non-timber plant extraction,Mamoru Kanzaki_,,,
Donglingshan ,,Beijing,China,Palearctic,54,39.9566,115.425,1290,1509,219,,1,20,500 x 400,,2010,,2010,"Liu et al., 2011",,58,52136,,"Quercus wutaishanica, Betula dahurica, and Acer mono are the three most dominant canopy species.",Temperate mountain system,BcD,Alf,,Dwb,4.7,570,Fi,,CC,,,Weiguo Sang_,,,
Fushan,,,Taiwan,Indo-Malay,20,24.7614,121.555,600,733,133,,1,25,500 x 500,,2004,,2004,"Su et al., 2007",,110,144500,,Dominated by Lauraceae an Fagaceae.,Subtropical humid forest,BE,Ult; In,extremely acidics,Cfa,18.2,4271,H,typhoons disturbance,,h,Botanical garden is very well protected;,I Fang Sun,Chang-Fu Hsieh_,,
Gutianshan,,Zhejiang,China,Palearctic,55,29.25,118.117,446,715,269,,1,24,600 x 400,,2005,,2005,"Lai et al., 2009; Ma et al., 2009; Lin et al., 2012",,159,140087,,,Subtropical humid forest,BE; BdD,Ult,,Cfa,15.3,1964,Ic,ice storms occasionally causes stem breakage and tree falls,"w, b, H",-,,"Mi, Xiangcheng_",Yu Mingjian,,
Haliburton ,,Ontario,Canada,Nearctic,29,45.2901,-78.6377,412.5,454.4,41.9,,1,13.5,500 x 300,Plot is not exactly rectangular: one edge borders a lake.,2007,,2007,,,30,46339,,"Haliburton Forest belongs to the Great Lakes-St Lawrence Forest Region, which extends inland from the St Lawrence River across the Great Lakes into southeastern Manitoba and is characterized by a mix of coniferous and deciduous species. The most abundant species is sugar maple, which dominates the forest away from the shoreline. Many species show strong habitat specificity, with red oak, American ash, and ironwood on dry rocky hillslopes, American beech patchily distributed in highland upland sites, and eastern hemlock, red maple, and white pine near the lakeshore.",Temperate continental forest,BcD,,,Dfb,4.2,962,-,,,,,Sean Thomas_,Michael Drescher_,,
Harvard Forest,,Massachusetts,USA,Nearctic,31,42.5388,-72.1755,340,368,28,,1,35,500 x 700,,2010,,2010,"Motzkin et al., 1999",,60,116200,,Mature secondary Eastern mixed deciduous forest dominated by eastern hemlock and northern hardwood species,Temperate mountain system,BdD,In,,Dfb,9,1050,H,,"P, W,I",I,,David Orwig,,,
Heishiding,,Guangdong,China,Indo-Malay,8,23.27,111.53,435,698,263,,1,50,500 x 1000,,2013,,2013,"Yin & He, 2014",,245,273000,,"Oak-laurel rain forest; The five most abundant species in the plot are Cryptocarya concinna,Neolitsea phanerophlebia, Litsea acuminate, Itea chinensis and Xanthophyllum hainanense. ",Subtropical humid forest,BE,,,Cfa,22,1744,,,,,,Fangliang He,,,
Hong Kong,,Hong Kong,China,Indo-Malay,9,22.4263,114.181,145,257,112,,2,21,500 x 400,dimensions are for 20-ha plot. There is also a 1ha plot.,2012,,2012,,,67-147,10476,Value is for original 1 ha plot only; species count in progress,Secondary oak-laurel forest.  relatively young (50-60 year old),Subtropical humid forest,BE_,Ox,,Cwa,23.3,2399,H,,"F, W, B, H, E",e,"There is a very long history of human impact on this forest; cleared in 19??, some areas planted with forest tree species; protected since 19xx?; has lost most of the important seed dispersing vertebrates",Billy Hau,,,
Huai Kha Khaeng,HKK,Uthai Thani,Thailand,Indo-Malay,26,15.6324,99.217,549,638,89,,1,50,1000 x 500,,1992,,1992,"Bunyavejchewin et al., 2004, 2009",,251,72500,,"Seasonal dry evergreen, mixed deciduous, mixed dipterocarpus",Tropical moist deciduous forest,BE; BdD,Alf,"Conflicting info on soils here-- (1) Losos & Leigh says Oxisols, Inceptisols on p. 57; Ultisols in the back; (2) highly weathered Ultisols derived from a parent material of granite porphyry; soil textures are sandy loam in the surface horizon and sandy clay-loam in the subsurface horizon; fertile. Soil classification done by Baillie, who also suggested Mollisols, but this is not clear at the moment.",Aw,23.5,1476,Fi; D,main natural disturbances are fire and drought,-,h,In a large complex of National Parks; very well protected; fauna fully intact;  occasional hunting;,Sarayudh Bunyavejchewin_,,,
Ilha do Cardoso,,Sao Paulo ,Brazil,Neotropic,40,-25.0955,-47.9573,3,8,5,,1,10.2,320 x 320,,2004,,2004,"de Oliveira et al., 2014",,106,40000,,"Tall restinga; coastal ""heath"" ",Tropical rainforest,BE,S,"the soils in the plot have a high content of fine sand and are unconsolidated; higher elevation areas (5-7 m a.s.l.) are well-drained, but may occasionally be flooded for short periods during heavy rains, these areas are associated with a thicker and darker podsol layer and are the older and more weathered marine deposits in the region (ca. 5000 years b.p.), the lower elevations (ca. 3 m a.s.l.), have the youngest soils (ca. 1600 y.b.p.), and the lack a podsol layer;  The plotëês hydromorphic podzol soils are the result of recent sea sedimentation and are characterized by high levels of sand, low levels of clay and silt, and low fertility. Nutrient-poor and water-stressed sandy soils.",Cfa,22.4,2100,,,,,,Alexandre de Oliveira_,,,
Ituri (Edoro and Lenda),,Eastern,Dem. Rep. of Congo,Afrotropic,2,1.4368,28.5826,700,850,150,"Ituri has four plots at two locations (Edoro and Lenda). Geographic coordinates are the midpoint value. Individual coordinates are as follows: Edoro 1 (1.5614, 28.5152); Edoro 2 (1.5614,28.5241); Lenda 1 (1.3166, 28.6455); Lenda 2 (1.3079,28.6454).",4,40,500 x 200; 500 x 200; 200 x 500; 200 x 500,Plot dimensions are listed in the following order: Edoro 1; Edoro 2; Lenda 1; Lenda 2.,1994,,1994,"Makana et al., 2004",,445,288000,,Two of the 10-ha plots are in mixed evergreen forest (at Edoro) and two are in monodominant mbau stands (Lenda). ,Tropical rainforest,BE,Ox,,Af,24.3,1682,W; A,windstorms; elephants; minor role of fire,-,h,Almost pristine. Massive expansive of intact forest. Some very limited hunting pressure. ,Corneille E.N. Ewango_,Jean-Remy Makana_,Terese Hart_,
Jianfengling,JFL; Hainan,Hainan,China,Indo-Malay,10,18.7308,108.905,866,1017,151,,1,60,1000 x 600,,2012,,2012,,,291,439889,,,Tropical moist deciduous forest,BE,Ult,,Aw,19.8,1657,H,,,,,Han Xu_,Prof. Yide Li,Prof. Shirong Liu,Prof. Fangliang He
Kenting,,,Taiwan,Indo-Malay,21,21.98,120.7969,250,300,50,"The difference in elevation between two stakes can be 20-50 m due to sharply undulating nature of karst terrain. As a result, the current topographical map with a contour internal of 10m is not detailed enough to show the real surficial features of the terrain.",1,10,400 x 250,9.6 in Lutz et al. 2018.,1996,,1996,"Lin et al., 2011; Wu et al., 2011 ",,95,39093,lost species over first two censuses,"Limestone forest dominated by Bischofia javanica and Figs; dominated by Ebenaceae, Euphorbiaceae and Moraceae specie",Subtropical humid forest,BE,,limestone,Am,25.4,1964,H,,"F, e",e,,,,,
Khao Chong,,Trang,Thailand,Indo-Malay,27,7.54347,99.798,110,360,250,,1,24,600 x 400,,2000,,2000,,,593,121500,,dipterocarp dominated; includes ridge forest dominated by massive Dipterocarpus costatus trees,Tropical rainforest,BE,Ult; In,soil classification done by Baillie,Am,27.1,2611,W;L,"natural disturbances are limited to occasional strong wind storms, and probably rare but sever line squalls that have the potential to remove small stands of trees; the plot is on very steep terrain and there is some evidence that landslides may occasionally occur",,,the forest is adjacent to areas of heavy human habitation and hunting pressure is intense,Sarayudh Bunyavejchewin,_Stuart Davies,,
Korup,,Southern,Cameroon,Afrotropic,1,5.07389,8.85472,150,240,90,,1,50,1000 x 500,,1996,,1996,"Thomas et al., 2003, 2015; Chuyong et al., 2004",,494,329000,,,Tropical rainforest,BE,"Ult, Ox","soils tend to be skeletal, sandy near surface, very nutrient-poor",Am,26.6,5272,W,,"f, e, h",-,National Park includes a big patch of intact forest; hunting pressure moderate to severe,_Duncan Thomas_,David Kenfack,George Chuyong_,
Kuala Belalong,,Temburong,Brunei Darussalam,Indo-Malay,6,4.5384,115.154,160,320,160,rugged terrain,1,25,500 x 500,,2009,,2009,,,1266,155901,Species & stem count reported at 2015 CTFS workshop,Mixed dipterocarp forest,Tropical rainforest,BE,Ult,"The geology consists of sedimentary rocks predominantly of shales of the Setap Formation; on ridge tops and summits, the shale is overlain by the Meligan formation; Soils are silty clay dominated by quartz and kaolinite, also high in iron and aluminium oxides but extremely low in plant nutrients (N & P) and basic nutrients (Ca, Mg); moderately fertile compared to Lambir and Pasoh",Af,26.5,5203,L,"A very stable climate, without major storm or natural disturbances; landslides on the the very steep terrain of the plot are fairly common;",h,-,"apart from a limited amount of hunting and NTFP extraction in the National Park, there is little human impact in the forest; I include here hunting but not sure to what degree since the information was only obtained from local Ibans living near the area.",Kamariah Abu Salim_,_Stuart Davies,,
La Planada,,Narino,Colombia,Neotropic,43,1.1558,-77.9935,1796,1840,44,,1,25,500 x 500,,1997,,1997,"Vallejo et al., 2004",,240,105400,,,Tropical mountain system,BE,An ,"acidic Andisols developed from volcanic ash; Soil texture is mainly sandy; the parent material is covered by diabases, gabbros and basalts belong to the Diabasic Group (Kvs), originated approximately in the upper Cretaceous;",Cfb,19,4087,W,"small-scale windthrows are the most important natural disturbance; the forest is primary,  ",P,E,"some areas were cleared for cattle ranching within the Park; harvest of palmito (Prestoea acuminata), the edible heart of palm is extracted by humans in July and December;",_Mauricio Alvarez_,,,
Lambir,,Sarawak,Malaysia,Indo-Malay,15,4.1865,114.017,104,244,140,,1,52,1040 x 500,,1991,,1991,"Lee et al., 2003, 2004",,1182,359600,,Mixed dipterocarp forest,Tropical rainforest,BE,Ult,"2 types within plot, sandy and clay Ultisols. Soil classification done by Turner & Baillie.",Af,26.6,2664,L; D,El Nino affect seedling regeneration and tree mortality,"H, e",H,"100m from edge with large paved road, has never been logged, but forest heavily impacted by hunting during the 1990s and early 2000s causing the extinction of some primate seed dispersers (gibbons), but more recent camera trapping has found high occupancy of muntjac, mouse deer, and short-tailed macaque, medium occupancy of other species (e.g. bearded pig).",Sylvester Tan_,Stuart Davies,Takuo Yamakura_,_Akira Itoh
Laupahoehoe ,,Hawaii,USA,Oceanic,49,19.9301,-155.287,1150,1170,20,,1,4,200 x 200,,2008,,2008,"Ostertag et al., 2014",,21,14641,,"The canopy is dominated by koa (Acacia koa) and ëêohiëêa (Metrosideros polymorpha), with a well-developed subcanopy of tree ferns (Cibotium species). Sub-canopy tree species include the following commonly observed species: olapa (Cheirodendron trigynum ssp. trigynum), kawaëêu (Ilex anomala), kolea (Myrsine lessertiana), and pilo (Coprosma rhynchocarpa).",Tropical rainforest,BE,An,,Cfb,16,3440,W,,"I, A","I, H",,Christian Giardina_,_Rebecca Ostertag_,_Susan Cordell,Lawren Sack
Lienhuachih,,,Taiwan,Indo-Malay,22,23.9136,120.879,667,841,174,,1,25,500 x 500,,2008,,2008,"Lin et al., 2011; Chang et al., 2012",,144,153268,,Lauro-Fagaceous Forest( following Su 1984).,Subtropical humid forest,BE,Ult,Geology is Tertiary Eocene Paileng formation of the Oligocene(?); substrate consists of argillaceous sandstone and shale; 2 soil types Typic Dystrochrept and Typic Hapleudult Red soils;,Cwb,20.8,2211,H; L,On average 0.7 typhoons pass through the plot each year. Typhoons result is soil saturation and because the slopes very steep there are frequent landslides; ,"H, F",h,There is a history of aboriginal hunting which was stopped in 19xx??,n/a,,,
Lilly Dickey Woods,,Indiana,USA,Nearctic,32,39.2359,-86.2181,230,303,73,,1,25,500 x 500,,2009,,2013,,,35,27993,,"Oak-hickory dominated with major proportions of chestnut oak (Quercus prinus), white oak (Quercus alba), various other oak species (Quercus spp.) and assorted hickories (Carya spp.), while the understory is mainly sugar maple (Acer saccharum).",Temperate continental forest,BcD,In; Ult; Alf,,Cfa,11.6,1203,W; D; Ic,,"W, b, h","b, h, i",,Keith Clay,Richard Phillips_,Dan Johnson_,
Luquillo,,Puerto Rico,"Puerto Rico, USA",Neotropic,48,18.3262,-65.816,333,428,95,,1,16,320 x 500,,1990,,1990,"Thompson et al., 2002; Thompson et al., 2004",,138,67100,,tabonuco forest; named after the dominant tree (Dacryodes excelsa Vahl; Burseraceae),Tropical rainforest,BE,Ox; Ult,"Soils were formed in residual volcanic ash that fell in the ocean to form volcani-clastic sandstones and siltstones, which were subsequently uplifted; Soils are dominated by old, deeply weathered kaolinitic Oxisols (Zarzal) and Ultisols (Cristal), and young, less-developed Entisols (Coloso and Fluvaquents) and Inceptisols (Prieto) in stream channels. Zarzal, Cristal and Prieto are deep clay soils, while Coloso and Fluvaquents are formed from alluvium in the stream channels. Soil classification done by Turner and others.",Am,22.8,3548,H; L,"average return interval of severe hurricanes to the area is 50-60 years, but the forest has been damaged by severe hurricanes in both 1989 (Hugo) and 1998 (Georges); Landslides affect on average 1% of the forest area at any time and are mainly related to heavy rainfall events; ","CC, F",,"LFDP has been covered by forest since the 1930ëês; Before then, 1.16 ha of the 16-ha plot was farmed; 9.6 ha was variably clearcut, then allowed to regrow but planted in places with coffee or fruit trees; and 5.24 ha has always been in forest but was selectively logged; a small area (320 m2) was clearcut in the 1960ëês as part of an experiment; the introduction of the black rat and mongoose to the forest is an indirect form of human disturbance.",Jess Zimmerman_,Jill Thompson,Maria Uriarte_,
Manaus,,Amazonas,Brazil,Neotropic,41,-2.4417,-59.7858,40,80,40,,1,25,500 x 500,,2004,,2004,"Gomes et al., 2013",,1440,,Species count tentative/ in progress as of 2014.,,Tropical rainforest,BE,Ox,should be Oxisols plus whatever it is they have near the river (but safe to give the main soil _ Ox). Havenëêt been to the plot though so not certain.- BT,Af,26.7,2600,W,localized wind storms result in small canopy gaps;,,,the plot sits in one of the primary forest patches of the Biological Dynamics of Forest Fragments Project; hunting pressure due to network of unpaved roads;,Alexandre de Oliveira_,Alberto Vicentini_,,
Michigan Big Woods,,Michigan,USA,Nearctic,NA,42.4667,-84,,,,,1,23,400 x 500,,2003,,2014,,,41,,"45,600 stems",,,,,,,,,,,,,,John Vandermeer_,David Allen,Christopher Dick,
Mo Singto,,Nakhon Nayok,Thailand,Indo-Malay,28,14.4333,101.35,725,815,90,,1,30.5,500 x 600,,2000,,2000,"Brockelman et al., 2011; Chanthorn et al., 2013",,262,131009,,,Tropical rainforest,BE; BdD,,"Soils are mostly well-drained brown or grey-brown, fine-sandy or silty-clay-loam; derived from residuum or colluvium of shale or sandstone; they are classified as isohyperthermic Ultic Haplustalf.",Aw,23.5,2100,W,"fire is not known for the plot for at least 30 years; strong wind storms may impact forest stands; the forest does appear to be late successional, but not clear what caused that.",,,"there is no sign of logging or other human activities in the plot, with the exception of a few quadrats that were part of a larger agricultural clearing on one side of the plot; ",Warren Y. Brockelman_,_Anuttara Nathalang,,
Mpala,,Rift Valley,Kenya,Afrotropic,4,0.2918,36.8809,1660,1800,140,,1,120,,Original plot was 3000 x 500; need updated dimensions,2011,,2011,"Georgiadis, 2011",,22,,,"Acacia savanna. The vegetation is dominated by legumes, particularly of the genus Acacia. The abundant trees are Acacia drepanolobium, A. nilotica, A. mellifera. Scattered individuals of Combretum molle and Boscia sp. are also present.  ",Tropical mountain system,BdD,Alf; Ve ,"black cotton; intermediate; red soil. Soil classification done by Turner: might give the geology associated with the two soils _ the Vertisols are formed on Miocene lava flows, while the Alfisols are formed on the Precambrian basement geology.",Cfb,17.9,657,"Fi, A",,"P, A, W,E,H","P, A, I",mixed cattle ranching and wildlife reserve; invasive plant species; ,Paul Mutuku Musili_,David Kenfack,,
Mudumalai,,Tamil Nadu,India,Indo-Malay,13,11.5989,76.5338,980,1120,140,,1,50,1000 x 500,,1987,,1987,"Sukumar et al., 2004",,72,25500,,Seasonal semi-evergreen lowland forest,Tropical dry forest,BdD,Alf,"Udic Haplustalf Alfisols, dark brown to deep black clayey skeletal soils; fertile;",Aw,22.7,1255,Fi; A; D,"the main natural disturbance is fire; also, elephant browsing","W, H",h,a long history of selective timber extraction ended in the 1980s; hunting pressure was high and now low; ; invasive species abundant in the understorey; fauna is intact,Raman Sukumar_,,,
Nanjenshan,Lanjenchi,,Taiwan,Indo-Malay,23,22.059,120.854,300,340,40,,1,5.88,300 x 100,he original plot measured 3 ha (300m x 100m) and was enlarged to 5.88 ha in 1997. ,1989,,1989,"Sun & Hsieh, 2004",,125,36400,Values are for original 3 ha plot only.,,Subtropical humid forest,BE; BdD,Ult,acidic Paleudults or Hapludalfs with advanced weathering ,Aw,23.5,3582,W; H,"the forest is strongly affected by monsoonal climate with consistent strong winds, and frequent typhoons",-,-,the plot is in a well-protected park with limited human impacts,"Chao, Wei Chun_",,,
Ngel Nyaki,,,Nigeria,Afrotropic,NA,7.068,11.0566,,,,,1,20.28,260 x 780,,2014,,2015,,,,,,,,,,,,,,,,,,,Hazel Chapman_,Iveren Abiem_,David Kenfack,
Niobara,,Nebraska,USA,Nearctic,,42.78,-100.021,,,,,,20.16,360 x 560,,2018,,,,,26,8293,,"Praire-forest ecotone. The forest occurs in moist, cool, spring-fed canyons leading to the Niobrara River that offer a stark contrast to the dry, well drained adjacent sand hills prairie. ",,,,,,,,,,,,,,,,
Nonggang ,,Guangxi,China,Indo-Malay,11,22.4333,106.95,370,180,190,,1,15,500 x 300,,2011,,2011,"Wang et al., 2014",,223,68010,,"Forest composition is principally Cleistanthus sumantranus, Sterculia monosperma, Vitex kwangsiensis, Hydnocarpus hainanensis, Diplodiscus trichosperma, antidesma japonicum, Excentrodendron tonkinense, Memecylon scutellatum, Ficus hispida, and Garcinia paucinervis. ",Subtropical humid forest,BE; BdD,Ox,karst; limestone derived,Cwa,22,1376,D ,,-,-,,Xiankun Li_,,,
Palamanui,,Hawaii,USA,Oceanic,50,19.7394,-155.994,255,275,20,,1,4,200 x 200,,2008,,2008,"Ostertag et al., 2014",,15,15652,,"Dominated by lama (Diospyros sandwicensis), alaheëêe (Psydrax odorata), and sandalwood (Santalum paniculatum), with few invasive plants in the understory.",Tropical rainforest,BE,Hi,,Cfb,20,835,W,,"I, A",I,near pristine condition (has probably never seen a major disturbance),Christian Giardina_,_Rebecca Ostertag_,_Susan Cordell,Lawren Sack
Palanan,,Isabela,Philippines,Indo-Malay,17,17.0402,122.388,72,122,50,,1,16,400 x 400,,1994,,1994,"Co et al., 2004",,335,78205,,Mixed dipterocarp forest.,Tropical rainforest,BE,Ult; In,,Af,26.1,3380,H,strong typhoons,"H, w, e",-,"the forest has never been logged, but human impacts include some hunting, some rattan collection, and a few high-value trees have been cut in the area of the plot",Perry Ong,Sandra L. Yap_,,
Pasoh,,Negeri Sembilan,Malaysia,Indo-Malay,16,2.982,102.313,70,90,20,,1,50,1000 x 500,,1986,,1986,"Manokaran et al., 2004",,814,335400,,Mixed dipterocarp forest (red meranti-keruing lowland dipterocarp) ,Tropical rainforest,BE,Ult,"the plot is on a relatively flat plain of Pleistocene alluvium, interspersed with a series of low hills of Triassic sediments and granite; the soils are predominantly well-drained Ultisols derived shale or granite and vary from clay-rich to quite sandy across the plot. Soil classification done by Turner & Baillie.",Af,27.9,1788,W,"being in the equtorial tropics Pasoh is not exposed to large scale natural disturbances, though wind squalls can sometimes upend groups of trees",,"h, e",the Reserve is surrounded by logging concessions and oil palm plantations; hunting and NTFP extraction at low intensity,Christine Fletcher_,Abdul Rahman Kassim_,,
Rabi,,Ogooue-Maritime,Gabon,Afrotropic,3,-1.9246,9.88004,28,54,26,,1,25,500 x 500,,2010,,2010,,,342,178447,,,Tropical rainforest,BE,Ox,"Thibault et al., (1994) characterized the soil of area close to Rabi as ferralitic  and hydromorphic soil with mostly sandy clay (more or less 25% argile) to clay sand (more or less 35% argile). Thibault Marc, Fisher Brian L. and Goodman Steven M. (1994) Description of Monts, Doudou, Gabon and the 2000 Biodiversity inventory of the reserve. Pp. 3-15 in: Fisher, B.L., ed., Monts Doudou, Gabon: A floral and Faunal Inventory with reference to elavational variation. Number 28, Memoire of the California Academy of Sciences, San Francisco, CA.",Aw,26,2282,W,,W,w,Selective logging in the 1920's; seismic exploration in 1980's; well protected inside Shell concession,Alfonso Alonso,_Pulcherie Bissiengou_,Herv_ Memiaghe_,
San Lorenzo,Sherman,Colon,Panama,Neotropic,47,9.2815,-79.974,,,,,1,6,400 x 100; 140 x 140,2 contiguous plots,1996,,1996,"Condit et al., 2004",,238,1935,,,Tropical rainforest,BE,,"Ben: Very fine, kaolinitic, isohyperthermic, Typic Hapludox",Am,26.2,3030,D; W_,,,,"The Sherman plot has apparently been free of severe disturbance for 200 y or more, since the largest trees are of slow-growing species (Manilkara bidentata, Brosimum utile). But there are signs of human impact in the area - the largest Manilkara in the plot has been slashed many times for latex, and the northern hectare of the plot was obviously cleared recently.",Richard Condit_,,,
Santa Cruz,UC Santa Cruz; UCSC,California,USA,Nearctic,33,37.0124,-122.075,314,332,18,,1,16,200 x 300,"originally 6-ha plot (200x300), expanded to 16ha",2007,,2007,"Gilbert et al., 2010",,33,"~23,000","Stem count tentative, in progress as of 2014.","The four dominant species are Douglas Fir (Pseudotsuga menziesii), Coast Live Oak (Quercus agrifolia), Shreve's Oak (Quercus parvula var. shrevei) and Tanoak (Lithocarpus densiflorus); Fagaceae and Pinanceae together comprise three-fourths of all stems.",Subtropical dry forest,BE; NE,Mo,,Csb,14.8,778,"Fi,W",,w,I,recreation as current local disturbance,Gregory Gilbert,,,
Scotty Creek ,,Northwest Territories,Canada,Nearctic,30,61.3,-121.3,258,274,16,,1,21,,,2013,,2013,"Chasmer et al., 2014",,12--15,"85,000",Tentative numbers; in progress as of 2014.,,Boreal tundra woodland,NE,Ge,,Dfc,-3.2,369,PT; Fi,The biggest disturbance by far is climate warming induced permafrost thaw. See Baltzer et al. (2014) Global Change Biology 20: 824-834. This is resulting in rapid net forest loss.,,,,Jennifer Baltzer_,Rajit Patankar_,,
